,FALSE,TRUE,Number of attempts
s1000,13,37,50
s1001,30,54,84
s1002,25,49,74
s1003,35,59,94
s1004,34,55,89
s1005,2,26,28
s1006,17,41,58
s1008,24,47,71
s1009,26,50,76
s1010,15,39,54
s1011,14,38,52
s1012,81,99,180
s1013,13,35,48
s1014,13,37,50
s1015,16,40,56
s1016,13,37,50
s1017,9,33,42
s1018,20,44,64
s1019,16,39,55
s1020,28,51,79
s1021,7,30,37
s1022,39,62,101
s1023,23,47,70
s1024,19,43,62
s1025,39,59,98
s1026,26,49,75
s1028,37,47,84
s1029,24,48,72
s1030,21,44,65
s1031,23,46,69
s1032,28,43,71
s1033,20,42,62
s1034,11,35,46
s1035,30,54,84
s1037,56,79,135
s1040,11,33,44
s1041,18,41,59
s1042,2,26,28
s1044,0,24,24
s1045,1,25,26
s940,30,50,80
s941,8,27,35
s942,21,45,66
s943,27,47,74
s944,41,64,105
s945,18,42,60
s946,25,48,73
s947,24,48,72
s948,14,38,52
s949,13,37,50
s950,18,41,59
s951,6,30,36
s952,18,41,59
s953,4,28,32
s954,22,45,67
s955,34,45,79
s956,14,37,51
s957,22,46,68
s958,31,53,84
s959,24,48,72
s960,8,31,39
s961,26,43,69
s962,25,49,74
s963,26,50,76
s964,10,34,44
s965,23,47,70
s966,3,26,29
s967,20,43,63
s968,10,34,44
s969,15,38,53
s970,10,34,44
s971,46,70,116
s972,4,27,31
s973,49,73,122
s974,4,28,32
s976,27,51,78
s977,28,52,80
s978,25,49,74
s979,16,39,55
s980,17,39,56
s981,17,38,55
s982,46,70,116
s983,2,25,27
s984,34,58,92
s985,37,61,98
s987,39,54,93
s988,9,32,41
s989,35,59,94
s990,10,32,42
s991,30,54,84
s992,33,52,85
s993,16,40,56
s995,19,42,61
s996,16,38,54
s997,14,38,52
s998,13,37,50
s999,32,54,86
