subject,condition,correct,inTraining,subject.gender,subject.age,phase,Animacy
s1000,nonsocial,FALSE,TRUE,Female,27,test,inanimate
s1000,nonsocial,TRUE,FALSE,Female,27,test,inanimate
s1000,nonsocial,TRUE,FALSE,Female,27,test,inanimate
s1000,nonsocial,FALSE,FALSE,Female,27,test,inanimate
s1000,nonsocial,FALSE,TRUE,Female,27,test,inanimate
s1000,nonsocial,TRUE,TRUE,Female,27,test,animate
s1000,nonsocial,FALSE,TRUE,Female,27,test,animate
s1000,nonsocial,TRUE,TRUE,Female,27,test,animate
s1000,nonsocial,TRUE,TRUE,Female,27,test,animate
s1000,nonsocial,TRUE,FALSE,Female,27,test,inanimate
s1000,nonsocial,FALSE,FALSE,Female,27,test,inanimate
s1000,nonsocial,TRUE,TRUE,Female,27,test,inanimate
s1000,nonsocial,TRUE,TRUE,Female,27,test,inanimate
s1000,nonsocial,TRUE,FALSE,Female,27,test,inanimate
s1000,nonsocial,FALSE,TRUE,Female,27,test,inanimate
s1000,nonsocial,FALSE,FALSE,Female,27,test,inanimate
s1000,nonsocial,FALSE,TRUE,Female,27,test,animate
s1000,nonsocial,FALSE,FALSE,Female,27,test,inanimate
s1000,nonsocial,TRUE,TRUE,Female,27,test,animate
s1000,nonsocial,TRUE,FALSE,Female,27,test,inanimate
s1000,nonsocial,FALSE,FALSE,Female,27,test,animate
s1000,nonsocial,TRUE,FALSE,Female,27,test,animate
s1000,nonsocial,TRUE,FALSE,Female,27,test,inanimate
s1000,nonsocial,TRUE,TRUE,Female,27,test,inanimate
s1000,nonsocial,TRUE,TRUE,Female,27,test,animate
s1000,nonsocial,TRUE,TRUE,Female,27,test,animate
s1000,nonsocial,TRUE,FALSE,Female,27,test,animate
s1000,nonsocial,FALSE,FALSE,Female,27,test,inanimate
s1000,nonsocial,TRUE,FALSE,Female,27,test,inanimate
s1000,nonsocial,TRUE,TRUE,Female,27,test,inanimate
s1000,nonsocial,FALSE,TRUE,Female,27,test,animate
s1000,nonsocial,TRUE,TRUE,Female,27,test,inanimate
s1000,nonsocial,TRUE,FALSE,Female,27,test,inanimate
s1000,nonsocial,FALSE,TRUE,Female,27,test,inanimate
s1000,nonsocial,FALSE,TRUE,Female,27,test,inanimate
s1000,nonsocial,FALSE,TRUE,Female,27,test,animate
s1000,nonsocial,FALSE,TRUE,Female,27,test,inanimate
s1000,nonsocial,FALSE,FALSE,Female,27,test,inanimate
s1000,nonsocial,TRUE,FALSE,Female,27,test,inanimate
s1000,nonsocial,FALSE,FALSE,Female,27,test,inanimate
s1000,nonsocial,FALSE,TRUE,Female,27,test,animate
s1000,nonsocial,FALSE,FALSE,Female,27,test,animate
s1000,nonsocial,FALSE,FALSE,Female,27,test,inanimate
s1000,nonsocial,FALSE,FALSE,Female,27,test,inanimate
s1000,nonsocial,FALSE,TRUE,Female,27,test,inanimate
s1000,nonsocial,FALSE,FALSE,Female,27,test,inanimate
s1000,nonsocial,FALSE,TRUE,Female,27,test,animate
s1000,nonsocial,TRUE,FALSE,Female,27,test,inanimate
s1001,nonsocial,FALSE,TRUE,Female,24,test,inanimate
s1001,nonsocial,FALSE,FALSE,Female,24,test,inanimate
s1001,nonsocial,TRUE,FALSE,Female,24,test,inanimate
s1001,nonsocial,TRUE,FALSE,Female,24,test,animate
s1001,nonsocial,TRUE,FALSE,Female,24,test,inanimate
s1001,nonsocial,TRUE,FALSE,Female,24,test,inanimate
s1001,nonsocial,FALSE,FALSE,Female,24,test,inanimate
s1001,nonsocial,TRUE,TRUE,Female,24,test,inanimate
s1001,nonsocial,FALSE,FALSE,Female,24,test,animate
s1001,nonsocial,TRUE,FALSE,Female,24,test,inanimate
s1001,nonsocial,TRUE,FALSE,Female,24,test,inanimate
s1001,nonsocial,TRUE,TRUE,Female,24,test,inanimate
s1001,nonsocial,FALSE,TRUE,Female,24,test,inanimate
s1001,nonsocial,FALSE,TRUE,Female,24,test,inanimate
s1001,nonsocial,FALSE,FALSE,Female,24,test,inanimate
s1001,nonsocial,FALSE,TRUE,Female,24,test,inanimate
s1001,nonsocial,TRUE,TRUE,Female,24,test,inanimate
s1001,nonsocial,TRUE,TRUE,Female,24,test,animate
s1001,nonsocial,FALSE,FALSE,Female,24,test,animate
s1001,nonsocial,TRUE,TRUE,Female,24,test,inanimate
s1001,nonsocial,FALSE,TRUE,Female,24,test,inanimate
s1001,nonsocial,TRUE,FALSE,Female,24,test,inanimate
s1001,nonsocial,FALSE,TRUE,Female,24,test,animate
s1001,nonsocial,TRUE,FALSE,Female,24,test,animate
s1001,nonsocial,FALSE,FALSE,Female,24,test,animate
s1001,nonsocial,TRUE,TRUE,Female,24,test,inanimate
s1001,nonsocial,FALSE,TRUE,Female,24,test,inanimate
s1001,nonsocial,TRUE,TRUE,Female,24,test,inanimate
s1001,nonsocial,TRUE,FALSE,Female,24,test,inanimate
s1001,nonsocial,TRUE,TRUE,Female,24,test,animate
s1001,nonsocial,TRUE,TRUE,Female,24,test,inanimate
s1001,nonsocial,TRUE,FALSE,Female,24,test,animate
s1001,nonsocial,TRUE,FALSE,Female,24,test,animate
s1001,nonsocial,TRUE,TRUE,Female,24,test,inanimate
s1001,nonsocial,TRUE,FALSE,Female,24,test,inanimate
s1001,nonsocial,TRUE,TRUE,Female,24,test,animate
s1001,nonsocial,TRUE,FALSE,Female,24,test,inanimate
s1001,nonsocial,TRUE,TRUE,Female,24,test,inanimate
s1001,nonsocial,FALSE,FALSE,Female,24,test,animate
s1001,nonsocial,FALSE,FALSE,Female,24,test,animate
s1001,nonsocial,FALSE,TRUE,Female,24,test,inanimate
s1001,nonsocial,TRUE,TRUE,Female,24,test,inanimate
s1001,nonsocial,TRUE,TRUE,Female,24,test,inanimate
s1001,nonsocial,TRUE,TRUE,Female,24,test,inanimate
s1001,nonsocial,TRUE,FALSE,Female,24,test,animate
s1001,nonsocial,FALSE,FALSE,Female,24,test,animate
s1001,nonsocial,TRUE,FALSE,Female,24,test,animate
s1001,nonsocial,FALSE,TRUE,Female,24,test,inanimate
s1002,nonsocial,TRUE,TRUE,Female,55,test,animate
s1002,nonsocial,TRUE,FALSE,Female,55,test,inanimate
s1002,nonsocial,TRUE,TRUE,Female,55,test,inanimate
s1002,nonsocial,FALSE,FALSE,Female,55,test,inanimate
s1002,nonsocial,TRUE,FALSE,Female,55,test,inanimate
s1002,nonsocial,TRUE,FALSE,Female,55,test,inanimate
s1002,nonsocial,FALSE,FALSE,Female,55,test,animate
s1002,nonsocial,FALSE,FALSE,Female,55,test,inanimate
s1002,nonsocial,TRUE,TRUE,Female,55,test,inanimate
s1002,nonsocial,FALSE,TRUE,Female,55,test,inanimate
s1002,nonsocial,FALSE,FALSE,Female,55,test,inanimate
s1002,nonsocial,FALSE,TRUE,Female,55,test,animate
s1002,nonsocial,FALSE,TRUE,Female,55,test,inanimate
s1002,nonsocial,FALSE,FALSE,Female,55,test,inanimate
s1002,nonsocial,TRUE,TRUE,Female,55,test,animate
s1002,nonsocial,FALSE,FALSE,Female,55,test,animate
s1002,nonsocial,TRUE,TRUE,Female,55,test,animate
s1002,nonsocial,FALSE,TRUE,Female,55,test,inanimate
s1002,nonsocial,FALSE,TRUE,Female,55,test,animate
s1002,nonsocial,TRUE,FALSE,Female,55,test,inanimate
s1002,nonsocial,TRUE,FALSE,Female,55,test,inanimate
s1002,nonsocial,TRUE,TRUE,Female,55,test,animate
s1002,nonsocial,TRUE,FALSE,Female,55,test,inanimate
s1002,nonsocial,TRUE,FALSE,Female,55,test,animate
s1002,nonsocial,TRUE,TRUE,Female,55,test,animate
s1002,nonsocial,FALSE,FALSE,Female,55,test,inanimate
s1002,nonsocial,FALSE,TRUE,Female,55,test,inanimate
s1002,nonsocial,FALSE,TRUE,Female,55,test,animate
s1002,nonsocial,FALSE,TRUE,Female,55,test,animate
s1002,nonsocial,FALSE,TRUE,Female,55,test,animate
s1002,nonsocial,TRUE,TRUE,Female,55,test,inanimate
s1002,nonsocial,TRUE,FALSE,Female,55,test,animate
s1002,nonsocial,TRUE,FALSE,Female,55,test,inanimate
s1002,nonsocial,FALSE,TRUE,Female,55,test,inanimate
s1002,nonsocial,TRUE,TRUE,Female,55,test,inanimate
s1002,nonsocial,FALSE,FALSE,Female,55,test,inanimate
s1002,nonsocial,FALSE,TRUE,Female,55,test,animate
s1002,nonsocial,TRUE,FALSE,Female,55,test,inanimate
s1002,nonsocial,FALSE,FALSE,Female,55,test,inanimate
s1002,nonsocial,FALSE,FALSE,Female,55,test,inanimate
s1002,nonsocial,TRUE,FALSE,Female,55,test,inanimate
s1002,nonsocial,TRUE,TRUE,Female,55,test,animate
s1002,nonsocial,TRUE,TRUE,Female,55,test,inanimate
s1002,nonsocial,FALSE,FALSE,Female,55,test,inanimate
s1002,nonsocial,TRUE,FALSE,Female,55,test,inanimate
s1002,nonsocial,FALSE,FALSE,Female,55,test,inanimate
s1002,nonsocial,TRUE,TRUE,Female,55,test,inanimate
s1002,nonsocial,FALSE,TRUE,Female,55,test,inanimate
s1003,nonsocial,TRUE,FALSE,Female,26,test,inanimate
s1003,nonsocial,FALSE,TRUE,Female,26,test,animate
s1003,nonsocial,TRUE,FALSE,Female,26,test,inanimate
s1003,nonsocial,TRUE,FALSE,Female,26,test,inanimate
s1003,nonsocial,FALSE,TRUE,Female,26,test,inanimate
s1003,nonsocial,FALSE,TRUE,Female,26,test,inanimate
s1003,nonsocial,FALSE,FALSE,Female,26,test,inanimate
s1003,nonsocial,FALSE,TRUE,Female,26,test,animate
s1003,nonsocial,TRUE,TRUE,Female,26,test,animate
s1003,nonsocial,TRUE,TRUE,Female,26,test,inanimate
s1003,nonsocial,FALSE,FALSE,Female,26,test,inanimate
s1003,nonsocial,TRUE,TRUE,Female,26,test,inanimate
s1003,nonsocial,FALSE,TRUE,Female,26,test,animate
s1003,nonsocial,FALSE,TRUE,Female,26,test,inanimate
s1003,nonsocial,FALSE,FALSE,Female,26,test,inanimate
s1003,nonsocial,FALSE,TRUE,Female,26,test,inanimate
s1003,nonsocial,TRUE,TRUE,Female,26,test,animate
s1003,nonsocial,TRUE,FALSE,Female,26,test,animate
s1003,nonsocial,FALSE,TRUE,Female,26,test,animate
s1003,nonsocial,FALSE,FALSE,Female,26,test,inanimate
s1003,nonsocial,TRUE,FALSE,Female,26,test,animate
s1003,nonsocial,TRUE,FALSE,Female,26,test,inanimate
s1003,nonsocial,TRUE,TRUE,Female,26,test,inanimate
s1003,nonsocial,TRUE,FALSE,Female,26,test,animate
s1003,nonsocial,TRUE,TRUE,Female,26,test,inanimate
s1003,nonsocial,FALSE,FALSE,Female,26,test,animate
s1003,nonsocial,FALSE,TRUE,Female,26,test,inanimate
s1003,nonsocial,TRUE,TRUE,Female,26,test,inanimate
