,Training  number of attempts,percentage_of_correct_answers_on_training
s1000,50,"74,00%"
s1001,84,"64,29%"
s1002,74,"66,22%"
s1003,94,"62,77%"
s1004,89,"61,80%"
s1005,28,"92,86%"
s1006,58,"70,69%"
s1008,71,"66,20%"
s1009,76,"65,79%"
s1010,54,"72,22%"
s1011,52,"73,08%"
s1012,180,"55,00%"
s1013,48,"72,92%"
s1014,50,"74,00%"
s1015,56,"71,43%"
s1016,50,"74,00%"
s1017,42,"78,57%"
s1018,64,"68,75%"
s1019,55,"70,91%"
s1020,79,"64,56%"
s1021,37,"81,08%"
s1022,101,"61,39%"
s1023,70,"67,14%"
s1024,62,"69,35%"
s1025,98,"60,20%"
s1026,75,"65,33%"
s1028,84,"55,95%"
s1029,72,"66,67%"
s1030,65,"67,69%"
s1031,69,"66,67%"
s1032,71,"60,56%"
s1033,62,"67,74%"
s1034,46,"76,09%"
s1035,84,"64,29%"
s1037,135,"58,52%"
s1040,44,"75,00%"
s1041,59,"69,49%"
s1042,28,"92,86%"
s1044,24,"100,00%"
s1045,26,"96,15%"
s940,80,"62,50%"
s941,35,"77,14%"
s942,66,"68,18%"
s943,74,"63,51%"
s944,105,"60,95%"
s945,60,"70,00%"
s946,73,"65,75%"
s947,72,"66,67%"
s948,52,"73,08%"
s949,50,"74,00%"
s950,59,"69,49%"
s951,36,"83,33%"
s952,59,"69,49%"
s953,32,"87,50%"
s954,67,"67,16%"
s955,79,"56,96%"
s956,51,"72,55%"
s957,68,"67,65%"
s958,84,"63,10%"
s959,72,"66,67%"
s960,39,"79,49%"
s961,69,"62,32%"
s962,74,"66,22%"
s963,76,"65,79%"
s964,44,"77,27%"
s965,70,"67,14%"
s966,29,"89,66%"
s967,63,"68,25%"
s968,44,"77,27%"
s969,53,"71,70%"
s970,44,"77,27%"
s971,116,"60,34%"
s972,31,"87,10%"
s973,122,"59,84%"
s974,32,"87,50%"
s976,78,"65,38%"
s977,80,"65,00%"
s978,74,"66,22%"
s979,55,"70,91%"
s980,56,"69,64%"
s981,55,"69,09%"
s982,116,"60,34%"
s983,27,"92,59%"
s984,92,"63,04%"
s985,98,"62,24%"
s987,93,"58,06%"
s988,41,"78,05%"
s989,94,"62,77%"
s990,42,"76,19%"
s991,84,"64,29%"
s992,85,"61,18%"
s993,56,"71,43%"
s995,61,"68,85%"
s996,54,"70,37%"
s997,52,"73,08%"
s998,50,"74,00%"
s999,86,"62,79%"
