,Training  number of attempts,percentage_of_correct_answers_on_training
s1000,50,0.74
s1001,84,0.6428571429
s1002,74,0.6621621622
s1003,94,0.6276595745
s1004,89,0.6179775281
s1005,28,0.9285714286
s1006,58,0.7068965517
s1008,71,0.661971831
s1009,76,0.6578947368
s1010,54,0.7222222222
s1011,52,0.7307692308
s1012,180,0.55
s1013,48,0.7291666667
s1014,50,0.74
s1015,56,0.7142857143
s1016,50,0.74
s1017,42,0.7857142857
s1018,64,0.6875
s1019,55,0.7090909091
s1020,79,0.6455696203
s1021,37,0.8108108108
s1022,101,0.6138613861
s1023,70,0.6714285714
s1024,62,0.6935483871
s1025,98,0.6020408163
s1026,75,0.6533333333
s1028,84,0.5595238095
s1029,72,0.6666666667
s1030,65,0.6769230769
s1031,69,0.6666666667
s1032,71,0.6056338028
s1033,62,0.6774193548
s1034,46,0.7608695652
s1035,84,0.6428571429
s1037,135,0.5851851852
s1040,44,0.75
s1041,59,0.6949152542
s1042,28,0.9285714286
s1044,24,1
s1045,26,0.9615384615
s940,80,0.625
s941,35,0.7714285714
s942,66,0.6818181818
s943,74,0.6351351351
s944,105,0.6095238095
s945,60,0.7
s946,73,0.6575342466
s947,72,0.6666666667
s948,52,0.7307692308
s949,50,0.74
s950,59,0.6949152542
s951,36,0.8333333333
s952,59,0.6949152542
s953,32,0.875
s954,67,0.671641791
s955,79,0.5696202532
s956,51,0.7254901961
s957,68,0.6764705882
s958,84,0.630952381
s959,72,0.6666666667
s960,39,0.7948717949
s961,69,0.6231884058
s962,74,0.6621621622
s963,76,0.6578947368
s964,44,0.7727272727
s965,70,0.6714285714
s966,29,0.8965517241
s967,63,0.6825396825
s968,44,0.7727272727
s969,53,0.7169811321
s970,44,0.7727272727
s971,116,0.6034482759
s972,31,0.8709677419
s973,122,0.5983606557
s974,32,0.875
s976,78,0.6538461538
s977,80,0.65
s978,74,0.6621621622
s979,55,0.7090909091
s980,56,0.6964285714
s981,55,0.6909090909
s982,116,0.6034482759
s983,27,0.9259259259
s984,92,0.6304347826
s985,98,0.6224489796
s987,93,0.5806451613
s988,41,0.7804878049
s989,94,0.6276595745
s990,42,0.7619047619
s991,84,0.6428571429
s992,85,0.6117647059
s993,56,0.7142857143
s995,61,0.6885245902
s996,54,0.7037037037
s997,52,0.7307692308
s998,50,0.74
s999,86,0.6279069767
